ID,Subject id,Kingdom,Subphylum,Class,Order,Family,Genus,% identity
OTU179,MK018339,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,100
OTU177,MK018344,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,100
OTU222,MK018379,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,100
OTU225,UDB035252,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,f__Arachnomycetales,g__Arachnomycetaceae,93.314
OTU404,MK018403,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,100
OTU226,EUK1008295,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,f__unclassified,g__unclassified,99.419
OTU458,MK018423,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,100
OTU415,MK018435,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Arachnomycetales,f__Arachnomycetaceae,g__Arachnomyces,100
OTU391,MK018464,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Trichocomaceae,g__Talaromyces,100
OTU517,MK018497,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,100
OTU436,MK018507,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,f__Gymnoascaceae,g__Gymnoascoideus,100
OTU481,MK018515,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,100
OTU348,MK018535,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Exophiala,100
OTU412,MK018545,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Exophiala,100
OTU335,MK018589,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,100
OTU294,EUK0301703,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__unclassified,f__unclassified,g__unclassified,96.805
OTU953,MK018599,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Arachnomycetales,f__Arachnomycetaceae,g__Arachnomyces,100
OTU678,MK018624,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,100
OTU746,MK018630,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,f__Ajellomycetaceae,g__Emmonsiellopsis,100
OTU487,MK018657,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,f__Onygenaceae,g__Uncinocarpus,100
OTU1203,MK018671,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,100
OTU1042,MK018672,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,100
OTU1165,MK018677,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,100
OTU848,MK018690,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,100
OTU841,MK018691,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,100
OTU764,MK847467,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Coniosporium,98.315
OTU750,MK018741,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,100
OTU892,MK018749,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,100
OTU888,MK018752,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,100
OTU650,MK018765,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Trichomeriaceae,g__Knufia,100
OTU960,MK018778,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,100
OTU1277,MK018795,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,100
OTU838,KY129989,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,f__Onygenaceae,g__Chrysosporium,98.83
OTU1069,MW616951,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,f__Arthrodermataceae,g__Ctenomyces,99.448
OTU931,MK018822,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Exophiala,100
OTU697,MK018844,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Chaetothyriales_fam_incertae_sedis,g__Sarcinomyces,100
OTU1193,MK018853,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__unclassified,g__unclassified,100
OTU1038,MK018863,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,f__unclassified,g__unclassified,100
OTU756,MK018869,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Cladophialophora,100
OTU1259,MK018912,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,f__Spiromastigaceae,g__Spiromastix,100
OTU1000,MK018914,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,f__unclassified,g__unclassified,100
OTU979,MK018960,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,100
OTU1006,MH864213,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Veronaea,98.966
OTU1188,MH229984,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Phialophora,99.462
OTU1160,KP963664,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__unclassified,91.781
OTU1044,MK019030,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,100
OTU1175,MK019041,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,f__Onygenaceae,g__unclassified,100
OTU1166,MK019085,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Thermoascaceae,g__Paecilomyces,100
OTU882,MK019124,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,f__unclassified,g__unclassified,100
OTU776,MK019171,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Trichomeriaceae,g__Knufia,100
OTU1169,MK019172,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Capronia,100
OTU1191,MK019188,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,f__Ajellomycetaceae,g__Histoplasma,100
OTU141,EUK1012330,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,f__Spiromastigaceae,g__Spiromastix,97.297
OTU824,EUK1121306,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,f__Onygenaceae,g__Leucothecium,98.356
OTU636,EUK1012330,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,f__Spiromastigaceae,g__Spiromastix,94.257
OTU1043,EUK0123812,k__Fungi,p__Ascomycota,c__GS54,o__unclassified,f__unclassified,g__unclassified,99.427
OTU197,UDB035498,k__Fungi,p__Ascomycota,c__Laboulbeniomycetes,o__Pyxidiophorales,f__unclassified,g__unclassified,98.795
OTU547,MH861336,k__Fungi,p__Ascomycota,c__Laboulbeniomycetes,o__Pyxidiophorales,f__Pyxidiophoraceae,g__Pyxidiophora,97.475
OTU418,EUK0112752,k__Fungi,p__Ascomycota,c__Laboulbeniomycetes,o__Pyxidiophorales,f__unclassified,g__unclassified,89.258
OTU405,MF161107,k__Fungi,p__Ascomycota,c__Laboulbeniomycetes,o__Pyxidiophorales,f__Pyxidiophoraceae,g__Pyxidiophora,97.15
OTU778,MK019166,k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecanorales,f__Pilocarpaceae,g__Ramalina,100
OTU1090,EUK1100177,Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Calloriaceae,g__Tricellula,99.41
OTU805,EUK1010850,Fungi,p__Ascomycota,c__Leotiomycetes,o__Thelebolales,f__Thelebolaceae,g__Thelebolus,99.41
OTU48,KF212288,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Thelebolales,f__Thelebolaceae,g__Solomyces,99.405
OTU85,JX131373,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Thelebolales,f__Pseudeurotiaceae,g__Pseudogymnoascus,99.11
OTU189,MK018366,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Scytalidium,100
OTU310,MW033930,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Sclerotiniaceae,g__Monilinia,99.403
OTU383,MK018516,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Scytalidium,100
OTU470,EUK1643550,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Scytalidium,96.793
OTU501,EUK1643706,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_incertae_sedis,g__Cistella,98.498
OTU769,KF056819,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Erysiphaceae,g__Podosphaera,99.392
OTU728,JX077048,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Thelebolales,f__Pseudeurotiaceae,g__Pseudeurotium,97.633
OTU1020,EUK1643551,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Scytalidium,98.841
OTU772,EUK1642647,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Discinellaceae,g__Articulospora,98.827
OTU531,MK018729,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Erysiphaceae,g__Erysiphe,100
OTU713,EU520606,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_incertae_sedis,g__Cistella,98.802
OTU851,KP191634,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Amorphothecaceae,g__Oidiodendron,99.698
OTU588,MK018934,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Erysiphaceae,g__Erysiphe,100
OTU1192,LN833542,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Amorphothecaceae,g__Myxotrichum,99.096
OTU971,JN808842,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Leotiales,f__Tympanidaceae,g__Collophorina,99.407
OTU1205,EUK1004612,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Thelebolales,f__Pseudeurotiaceae,g__Leuconeurospora,97.353
OTU1141,MW471139,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Thelebolales,f__Thelebolaceae,g__Inopinatum,99.407
OTU933,UDB0778494,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Rutstroemiaceae,g__Rutstroemia,98.542
OTU1019,MK019140,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__unclassified,f__unclassified,g__unclassified,100
OTU1201,EUK1012161,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_incertae_sedis,g__Mycoarthris,98.806
OTU1062,EUK0096753,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__unclassified,g__unclassified,98.503
OTU235,EUK1010801,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Thelebolales,f__Pseudeurotiaceae,g__Pseudogymnoascus,98.516
OTU341,EUK1121508,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,g__Hyaloscypha,98.813
OTU760,EUK1010318,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Scytalidium,97.935
OTU807,GCA_000238015,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Glarea,99.407
OTU1148,MK019022,k__Fungi,p__Ascomycota,c__Lipomycetes,o__Lipomycetales,f__Lipomycetaceae,g__Lipomyces,100
OTU151,EUK1647969,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Vermispora,97.698
OTU255,MK018437,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Vermispora,100
OTU237,EUK1647972,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Vermispora,98.458
OTU364,MK018502,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Arthrobotrys,100
OTU438,MK018665,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Arthrobotrys,100
OTU1032,MK018922,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Geniculifera,100
OTU1058,MK019189,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Vermispora,100
OTU21,EUK1648342,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Ascobolaceae,g__Ascobolus,99.133
OTU36,MK018221,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__Cheilymenia,100
OTU57,EUK0108780,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Ascobolaceae,g__Thecotheus,95.87
OTU276,EUK1649637,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pezizaceae,g__Peziza.s.str.,98.615
OTU144,HG936834,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pezizaceae,g__Peziza.s.str.,98.916
OTU233,MK018363,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pezizales_fam_incertae_sedis,g__Boubovia,100
OTU202,MK018457,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Ascobolaceae,g__Ascobolus,100
OTU245,MK018465,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__unclassified,g__unclassified,100
OTU240,MK018481,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pezizaceae,g__Greletia,100
OTU312,MK018493,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pezizaceae,g__Greletia,100
OTU463,MK018539,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__unclassified,g__unclassified,100
OTU336,EUK1650083,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pulvinulaceae,g__Pulvinula,99.198
OTU274,MK018549,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__unclassified,g__unclassified,100
OTU379,MK018559,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__Scutellinia,100
OTU631,EUK1650046,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pulvinulaceae,g__unclassified,91.644
OTU698,MK018603,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pezizales_fam_incertae_sedis,g__Coprotus,100
OTU492,MK018605,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pezizales_fam_incertae_sedis,g__Coprotus,100
OTU479,MK018611,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__unclassified,100
OTU304,MK018615,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__unclassified,g__unclassified,100
OTU361,EUK0108451,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pulvinulaceae,g__Pulvinula,89.894
OTU219,EUK0059741,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__unclassified,g__unclassified,99.128
OTU321,EUK1648718,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Ascobolaceae,g__Saccobolus,97.959
OTU550,MK018713,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__Micronematobotrys,100
OTU992,EUK1650050,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pulvinulaceae,g__unclassified,99.452
OTU675,MK018842,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__Scutellinia,100
OTU575,EUK1649794,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pezizaceae,g__Terfezia,85.195
OTU419,MK018886,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__Pyronema,100
OTU474,EUK1649430,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pezizaceae,g__Iodophanus,98.667
OTU652,MK018896,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Ascobolaceae,g__Ascobolus,100
OTU598,MK018924,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__unclassified,g__unclassified,100
OTU1078,FN689670,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pezizaceae,g__Iodophanus,98.138
OTU950,MK018615,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__unclassified,g__unclassified,96.782
OTU875,KX953549,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pezizaceae,g__Iodophanus,99.194
OTU1138,MK018961,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pezizaceae,g__Peziza.s.str.,100
OTU1195,MK018962,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Ascodesmidaceae,g__Cephaliophora,100
OTU876,MK019050,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__Anthracobia,100
OTU1137,MK019065,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__unclassified,g__unclassified,100
OTU1287,MK019080,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pseudombrophilaceae,g__Heydenia,100
OTU972,MK019092,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pezizaceae,g__Greletia,100
OTU1235,MK019113,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,g__Scutellinia,100
OTU1108,MK019118,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pezizaceae,g__Greletia,100
OTU1180,MK019148,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Ascobolaceae,g__Ascobolus,100
OTU917,MK019152,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Ascodesmidaceae,g__Trichobolus,100
OTU1284,MK019153,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pezizaceae,g__Greletia,100
OTU1272,EUK0108076,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pulvinulaceae,g__Pulvinula,90.71
OTU275,EUK1011411,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Ascobolaceae,g__Ascobolus,98.837
OTU628,EUK1010636,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Ascobolaceae,g__Saccobolus,99.125
OTU693,MK018978,k__Fungi,p__Ascomycota,c__Pezizomycotina_cl_incertae_sedis,o__unclassified,f__unclassified,g__unclassified,100
OTU439,MK018633,k__Fungi,p__Ascomycota,c__Pichiomycetes,o__Serinales,f__Debaryomycetaceae,g__Meyerozyma,100
OTU1112,MK018975,k__Fungi,p__Ascomycota,c__Pichiomycetes,o__Serinales,f__Debaryomycetaceae,g__Debaryomyces,100
OTU811,MN783633,k__Fungi,p__Ascomycota,c__Pichiomycetes,o__Pichiales,f__Pichiaceae,g__Pichia,99.338
OTU761,MK019100,k__Fungi,p__Ascomycota,c__Pichiomycetes,o__Serinales,f__Debaryomycetaceae,g__Scheffersomyces,100
OTU957,MK394155,k__Fungi,p__Ascomycota,c__Pichiomycetes,o__Serinales,f__Metschnikowiaceae,g__Metschnikowia,98.833
OTU409,MK394144,k__Fungi,p__Ascomycota,c__Pichiomycetes,o__Serinales,f__Debaryomycetaceae,g__Kodamaea,98.909
OTU908,CH408078,k__Fungi,p__Ascomycota,c__Pichiomycetes,o__Serinales,f__Metschnikowiaceae,g__Clavispora,98.842
OTU311,EUK0114450,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Saccharomycetales_fam_incertae_sedis,g__unclassified,98.239
OTU510,KU240650,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Saccharomycetales_fam_incertae_sedis,g__Candida,97.674
OTU1041,MK019078,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Saccharomycetales_fam_incertae_sedis,g__Candida,100
OTU1185,KU240650,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Saccharomycetales_fam_incertae_sedis,g__Candida,95.167
OTU1095,MT028123,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Saccharomycetales_fam_incertae_sedis,g__Candida,99.698
OTU1028,MK394130,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Phaffomycetales,f__Wickerhamomycetaceae,g__Wickerhamomyces,99.472
OTU1271,EUK1012067,Fungi,p__Ascomycota,c__Sordariomycetes,o__Amphisphaeriales,f__Sporocadaceae,g__Adisciso,99.419
OTU38,MK018218,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Xylariaceae,g__Arthroxylaria,100
OTU76,MK018222,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomium,100
OTU47,MK018223,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomium,100
OTU39,KF493998,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__unclassified,g__unclassified,98.844
OTU96,KP055593,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomium,98.551
OTU60,MH161277,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__unclassified,g__unclassified,98.521
OTU92,MH861910,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Ovatospora,99.123
OTU138,MK926861,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Podosporaceae,g__Podospora,99.433
OTU134,MH856728,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Neoschizotheciaceae,g__Neoschizothecium,97.959
OTU184,MK018271,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,100
OTU54,MT579669,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Trichocladium,97.329
OTU95,MW268980,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Coniochaetales,f__Coniochaetaceae,g__Lecythophora,99.133
OTU169,MK018282,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Monocillium,100
OTU205,MK018285,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Bionectriaceae,g__Acremonium,100
OTU63,MK018287,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Microdochiaceae,g__Microdochium,100
OTU212,MK018290,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Bionectriaceae,g__Acremonium,100
OTU207,MK018294,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Magnaporthales,f__Magnaporthaceae,g__Magnaporthiopsis,100
OTU168,EUK1006262,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Coniochaetales,f__Coniochaetaceae,g__Coniochaeta,97.126
OTU186,MK018300,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Madurella,100
OTU167,MK018306,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Thielavia,100
OTU129,MN341417,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Sordariaceae,g__Sordaria,99.412
OTU624,MK656128,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Thelonectria,99.198
OTU717,MK018313,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,100
OTU156,MK018317,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Microascales,f__Microascaceae,g__Petriella,100
OTU110,KM056332,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Myrmecridiales,f__Myrmecridiaceae,g__Myrmecridium,99.104
OTU182,MK018335,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Branch06,f__unclassified,g__unclassified,100
OTU266,ON564534,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Allocanariomyces,99.125
OTU188,MT032395,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Podosporaceae,g__Cladorrhinum,98.837
OTU152,FJ914688,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Microascales,f__Microascaceae,g__Cephalotrichum,99.206
OTU201,MK018343,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Mycothermus,100
OTU267,MK018345,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomium,100
OTU148,KF800295,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__unclassified,g__unclassified,98.824
OTU220,MK018349,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Ophiocordycipitaceae,g__Ophiocordyceps,100
OTU441,MK018350,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Bionectriaceae,g__Clonostachys,100
OTU172,MK018353,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Microascales,f__unclassified,g__unclassified,100
OTU123,EUK1006160,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__unclassified,g__unclassified,97.273
OTU261,MK018355,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Podosporaceae,g__Cladorrhinum,100
OTU465,KC427069,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Neoschizotheciaceae,g__Neoschizothecium,96.755
OTU193,LN850977,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Microascales,f__Microascales_fam_incertae_sedis,g__Trichurus,99.457
OTU241,EUK1651771,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Microdochiaceae,g__unclassified,98.834
